year,round,type,institute,program,quota,category,gender,orank,crank
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","SC","NA",905,1033
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","ST","NA",394,426
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OPEN","NA",2697,4089
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","NA",775,1515
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","SC","NA",535,914
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","ST","NA",303,382
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","NA",4524,5522
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","NA",166,166
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","NA",1391,1862
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","SC","NA",802,977
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","ST","NA",331,499
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","NA",5706,6094
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","NA",2270,2338
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","NA",1069,1069
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","NA",612,612
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","NA",6125,6653
